Регистрационный номер;Краткое наименование;Дата регистрации;Возраст компании, лет;Статус;Регион регистрации;Наименование ОКАТО;Вид деятельности/отрасль;Организационно-правовая форма;2019, Доходы, RUB;2020, Доходы, RUB;2021, Доходы, RUB;2019, Расходы, RUB;2020, Расходы, RUB;2021, Расходы, RUB;2019, Налоги, RUB;2020, Налоги, RUB;2021, Налоги, RUB;2019, Активы  всего, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2019, Капитал и резервы, RUB;2020, Капитал и резервы, RUB;2021, Капитал и резервы, RUB;2019, Пассивы всего, RUB;2020, Пассивы всего, RUB;2021, Пассивы всего, RUB;2019, Чистая прибыль (убыток), RUB;2020, Чистая прибыль (убыток), RUB;2021, Чистая прибыль (убыток), RUB;2019, Оплата труда, RUB;2020, Оплата труда, RUB;2021, Оплата труда, RUB;2019, Прибыль от приносящей доход деятельности, RUB;2020, Прибыль от приносящей доход деятельности, RUB;2021, Прибыль от приносящей доход деятельности, RUB;2019, Всего поступило средств, RUB;2020, Всего поступило средств, RUB;2021, Всего поступило средств, RUB;2019, Расходы на целевые мероприятия, RUB;2020, Расходы на целевые мероприятия, RUB;2021, Расходы на целевые мероприятия, RUB;2019, Расходы на содержание аппарата управления, RUB;2020, Расходы на содержание аппарата управления, RUB;2021, Расходы на содержание аппарата управления, RUB;2019, Приобретение основных средств, инвентаря и иного имущества, RUB;2020, Приобретение основных средств, инвентаря и иного имущества, RUB;2021, Приобретение основных средств, инвентаря и иного имущества, RUB;2019, Всего использовано средств, RUB;2020, Всего использовано средств, RUB;2021, Всего использовано средств, RUB;2019, Остаток средств на конец отчетного года, RUB;2020, Остаток средств на конец отчетного года, RUB;2021, Остаток средств на конец отчетного года, RUB
1207400044004;ФОНД 2020;03.12.2020;1,5;Действующая;Челябинская область;Челябинская область, Челябинск, Центральный;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Фонды;;;;;;;;;;;;12 726 000;;;12 430 000;;;12 726 000;;;199 000;;;2 223 000;;;199 000;;;65 919 000;;;49 527 000;;;3 948 000;;;98 000;;;53 587 000;;;12 332 000
1205000028298;"МРОО ""22/17""";20.03.2020;2,0;Действующая;Московская область;Московская область, Мытищи;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;;3 689 000;1 424 000;;;;;3 689 000;1 424 000;;;;;;;;;;;3 717 000;1 170 000;;;;;;;;;;;28 000;3 694 000;;3 689 000;1 165 000
1113900001137;"НП ""5 ИЮНЯ""";20.07.2011;11,0;Действующая;Калининградская область;Калининградская область, Калининград, Ленинградский;Разработка проектов по кондиционированию воздуха, холодильной технике, санитарной технике и мониторингу загрязнения окружающей среды, строительной акустике;Некоммерческие партнерства;;;;;;;;;;207 000;241 000;281 000;207 000;;;207 000;241 000;281 000;78 000;34 000;40 000;;;;;;;;;;;;;;;;;;;;;;;;
1126700000789;"""ААИИ""";09.11.2012;9,5;Действующая;Смоленская область;Смоленская область, Смоленск;Исследование конъюнктуры рынка и изучение общественного мнения;Объединения юридических лиц;;;;;;;;;;118 000;708 000;77 000;118 000;629 000;73 000;118 000;708 000;77 000;;111 000;;;;;;117 000;43 000;845 000;2 876 000;1 880 000;265 000;1 209 000;1 513 000;446 000;1 156 000;927 000;18 000;;;729 000;2 365 000;2 440 000;118 000;629 000;69 000
1097400002193;АБ КРП;01.10.2009;12,5;Действующая;Челябинская область;Челябинская область, Челябинск, Советский;Деятельность в области права;Адвокатские бюро;;;;;;;;;;4 532 000;3 719 000;4 261 000;;;;4 532 000;3 719 000;4 261 000;;;;;;;;;;35 647 000;30 164 000;38 392 000;28 790 000;26 437 000;33 067 000;4 983 000;4 917 000;5 228 000;;;;33 773 000;31 354 000;38 295 000;2 952 000;1 762 000;1 859 000
1122600001622;"РОО НКА АБАЗИН СТАВРОПОЛЬСКОГО КРАЯ ""АБАЗА""";13.08.2012;9,5;Действующая;Ставропольский край;Ставропольский край, Ставрополь, Ленинский;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;;1 000;;;;;;1 000;;;;;;;;;;;204 000;471 000;400 000;199 000;465 000;400 000;;;;;;;204 000;470 000;401 000;-25 000;-24 000;-25 000
1051900006498;"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""АБАКАНСКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""";18.09.1995;26,5;Действующая;Хакасия (Республика);Республика Хакасия, Абакан;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1212300022263;"БФ ""АБО""";22.01.2018;4,5;Действующая;Краснодарский край;Краснодарский край, Краснодар, Карасунский;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Благотворительные фонды;;;;;;;;;;1 316 000;1 636 000;2 529 000;;;;1 316 000;1 636 000;2 529 000;;;;;;;;;;1 513 000;6 954 000;2 923 000;;6 355 000;1 131 000;;;;;;;372 000;7 632 000;1 610 000;1 210 000;532 000;1 427 000
1155200001483;"АНО УКЦ ""АБСОЛЮТ-НН""";15.03.2010;12,0;Действующая;Нижегородская область;Нижегородская область, Нижний Новгород, Нижегородский;Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки;Автономные некоммерческие организации;;;;;;;;;;1 852 000;2 317 000;3 825 000;;;;1 852 000;2 317 000;3 825 000;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035000907204;"БФ ""АБСОЛЮТ-ПОМОЩЬ""";13.05.2002;20,0;Действующая;Московская область;Московская область, Одинцово, Заречье;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Благотворительные фонды;;;;;;;;;;1 000 986 000;1 166 552 000;1 438 210 000;987 173 000;1 150 383 000;1 422 657 000;1 000 986 000;1 166 552 000;1 438 210 000;45 000;113 000;305 000;19 864 000;15 479 000;20 878 000;;;;338 511 000;565 558 000;940 974 000;285 983 000;410 398 000;618 117 000;27 455 000;30 145 000;50 394 000;24 726 000;;1 222 000;338 163 000;440 544 000;669 733 000;167 875 000;292 889 000;564 130 000
1147800005946;АВ СПБГУ;08.10.2014;7,5;Действующая;Санкт-Петербург;Санкт-Петербург, Василеостровский;Консультирование по вопросам коммерческой деятельности и управления;Объединения юридических лиц;;;;;;;;;;9 153 000;6 924 000;5 851 000;;;;9 153 000;6 924 000;5 851 000;-1 919 000;1 982 000;863 000;;;;;1 982 000;863 000;40 336 000;21 315 000;22 595 000;17 088 000;7 126 000;8 736 000;17 955 000;14 585 000;15 013 000;;;;35 043 000;21 711 000;23 749 000;8 520 000;6 251 000;5 097 000
1204200012939;"АНО ПОДДЕРЖКИ И РАЗВИТИЯ ПЕДАГОГИЧЕСКИХ ИНИЦИАТИВ ""АВАНГАРД""";03.09.2020;1,5;Действующая;Кемеровская область;Кемеровская область, Кемерово, Рудничный;Образование дополнительное детей и взрослых прочее, не включенное в другие группировки;Автономные некоммерческие организации;;;;;;;;;;;32 000;114 000;;3 000;111 000;;32 000;114 000;;;;;;98 000;;;;;82 000;527 000;;79 000;129 000;;;157 000;;;88 000;;79 000;417 000;;3 000;111 000
1034637002487;АФК «АВАНГАРД»;13.01.2003;19,5;Действующая;Курская область;Курская область, Курск, Центральный;Деятельность спортивных клубов;Объединения юридических лиц;;;;;;;;;;32 257 000;24 984 000;24 283 000;-107 214 000;-76 461 000;22 945 000;32 257 000;24 984 000;24 283 000;-3 855 000;-3 189 000;-4 302 000;;;;;;;;;;;;;;;;;;;;;;;;
1026700008411;"ОО СГКС ""АВАНГАРД""";10.11.1998;23,5;Действующая;Смоленская область;Смоленская область, Смоленск;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;97 000;286 000;427 000;71 000;;;97 000;286 000;427 000;;;;;;;180 000;75 000;;3 126 000;2 737 000;3 454 000;1 475 000;2 233 000;2 953 000;1 018 000;249 000;423 000;17 000;;;2 680 000;2 497 000;3 455 000;410 000;240 000;239 000
1027746002338;АВБД ОВД И ВВ РОССИИ;28.07.1992;30,0;Действующая;Москва;Москва, Северо-Восточный, Марьина роща;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;678 000;2 600 000;7 366 000;479 000;520 000;749 000;678 000;2 600 000;7 366 000;;24 000;15 000;;;;;26 000;18 000;2 712 000;570 000;1 653 000;986 000;;;2 505 000;530 000;1 235 000;;;189 000;3 492 000;530 000;1 425 000;479 000;520 000;749 000
1037739210970;"ЧПОУ ""АВИАШКОЛА АЭРОФЛОТА""";18.04.1995;27,0;Действующая;Москва;Москва, Северный, Молжаниновский;Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки;Частные учреждения;;;;;;;;;;212 021 000;242 369 000;416 661 000;86 760 000;114 822 000;221 881 000;212 021 000;242 369 000;416 661 000;-20 762 000;28 062 000;107 212 000;;;;;28 062 000;107 212 000;;28 184 000;110 960 000;;;;;122 000;42 000;25 947 000;768 000;510 000;51 619 000;890 000;552 000;18 175 000;45 469 000;155 877 000
1037858019088;"МРОО ""АВИП""";12.05.1997;25,0;Действующая;Санкт-Петербург;Санкт-Петербург, Адмиралтейский;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;14 249 000;12 720 000;10 031 000;;;;14 249 000;12 720 000;10 031 000;;;;;;;5 257 000;1 485 000;;57 380 000;41 814 000;31 073 000;45 571 000;43 291 000;23 269 000;5 257 000;1 485 000;1 247 000;;;;50 828 000;44 776 000;27 875 000;7 568 000;4 606 000;7 804 000
1191832023745;"БФ ""АВИТА""";29.10.2019;2,5;Действующая;Удмуртская Республика;Удмуртская Республика, Ижевск, Первомайский;Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам;Благотворительные фонды;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1160280137797;АВПР РБ;28.12.2016;5,5;Действующая;Башкортостан (Республика);Республика Башкортостан, Уфа, Кировский;Деятельность профессиональных членских организаций;Объединения юридических лиц;;;;;;;;;;111 000;190 000;226 000;111 000;175 000;226 000;111 000;190 000;226 000;;;;;;;;;;401 000;401 000;;;;;499 000;499 000;;;;;499 000;499 000;;96 000;96 000;
1027800008092;"РОО ""АВРОРА""";08.04.1996;26,0;Действующая;Санкт-Петербург;Санкт-Петербург, Адмиралтейский;Деятельность в области спорта прочая;Общественные организации;;;;;;;;;;911 000;1 627 000;4 359 000;;;-82 000;911 000;1 627 000;4 359 000;;;;16 223 000;;;;;;28 842 000;;;;;;30 462 000;;;;;;30 462 000;;;911 000;;
1097799013652;"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""АВТОДОР""";12.08.2009;12,5;Действующая;Москва;Москва, Центральный, Тверской;Управление имуществом, находящимся в государственной собственности;Государственные компании;;;;;;;;;;284 660 782 000;228 150 627 000;771 132 449 000;15 376 113 000;-119 176 056 000;430 847 288 000;284 660 782 000;228 150 627 000;771 132 449 000;;;;;;;;;;;;;;;;;;;;;;;;;;;
1164200051212;"АНО ДПО ""АВТОКЛАСС""";06.08.2007;14,5;Действующая;Кемеровская область;Кемеровская область, Кемерово, Центральный;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;298 000;158 000;205 000;103 000;103 000;103 000;298 000;158 000;205 000;;;;;;;;;;;;;;;;;;;;;;;;;;;
1047831009907;"РОО ""АВТОКЛУБ""";26.11.2004;17,5;Действующая;Санкт-Петербург;Санкт-Петербург, Невский;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные движения;;;;;;;;;;912 000;869 000;;;;;912 000;869 000;;-39 000;-26 000;;;;;;;;;;;;;;;;;;;;;;;;;
1156313087061;"АНО ДПО ШКОЛА ""АВТОКУРС""";12.02.1998;24,0;Действующая;Самарская область;Самарская область, Тольятти, Автозаводский;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;401 000;413 000;409 000;-3 297 000;;;401 000;413 000;409 000;-1 601 000;-133 000;;;;;;;;;;;;;;;;;;;;;;;;;
1142300002316;"ПОО ЧУ ""АВТОМОБИЛЬНО-ДОРОЖНЫЙ КОЛЛЕДЖ""";09.07.2014;8,0;Действующая;Краснодарский край;Краснодарский край, Сочи, Хостинский;Образование профессиональное среднее;Частные учреждения;;;;;;;;;;25 589 000;29 681 000;46 514 000;1 185 000;4 815 000;4 879 000;25 589 000;29 681 000;46 514 000;156 000;3 630 000;64 000;19 553 000;19 864 000;18 167 000;;;;12 000;;;;;;;;;;;;12 000;;;;;
1095000004868;"АНО ДПО ""АВТОМОБИЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР""";08.09.2009;12,5;Действующая;Московская область;Московская область, Подольск;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1127799017521;"АНО ДПО ""АВТОСИТИ""";06.09.2012;9,5;Действующая;Москва;Москва, Юго-Восточный, Выхино-Жулебино;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;358 000;644 000;1 198 000;279 000;552 000;1 108 000;358 000;644 000;1 198 000;107 000;273 000;556 000;;;;;;;;;;;;;;;;;;;;;;;;
1084200006670;"ЧУ ДПО ""АВТОСТРАДА""";25.12.2008;13,5;Действующая;Кемеровская область;Кемеровская область, Мыски;Деятельность школ подготовки водителей автотранспортных средств;Частные учреждения;;;;;;;;;;1 109 000;2 418 000;2 167 000;;;;1 109 000;2 418 000;2 167 000;587 000;982 000;162 000;;;;7 398 000;7 667 000;6 088 000;8 102 000;8 192 000;6 433 000;704 000;525 000;345 000;6 388 000;6 916 000;5 976 000;300 000;1 433 000;;7 392 000;8 874 000;6 321 000;749 000;67 000;179 000
1075000013010;"АНО ДПО ""АВТОШКОЛА ВИРАЖ""";18.12.2007;14,5;Действующая;Московская область;Московская область, Коломна;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;385 000;773 000;520 000;236 000;;;385 000;773 000;520 000;135 000;171 000;-33 000;1 972 000;2 989 000;2 442 000;;;;;;;;;;;;;;;;;;;;;
1142500002193;"АНО ДПО ""АВТОШКОЛА ""ГРЕНАДА""";06.11.2014;7,5;Действующая;Приморский край;Приморский край, Партизанск;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;2 757 000;4 413 000;3 972 000;;;;2 757 000;4 413 000;3 972 000;-3 723 000;1 934 000;149 000;;;;;;;;;;;;;;;;;;;;;;;;
1212500007830;АНОО ДПО «АВТОШКОЛА ГРЕНАДА»;07.04.2021;1,0;Действующая;Приморский край;Приморский край, Партизанск;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1095200000180;"ПО АНО ""АВТОШКОЛА ""МАСТЕР-КЛАСС""";20.01.2009;13,5;Действующая;Нижегородская область;Нижегородская область, Нижний Новгород, Автозаводский;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;106 000;65 000;166 000;-1 294 000;-1 000 000;-948 000;106 000;65 000;166 000;-13 000;294 000;51 000;;;;;;;;;;;;;;;;;;;;;;;;
1107800000175;"АНО ДПО ""АВТОШКОЛА ""ПЕРЕКРЁСТОК""";21.01.2010;12,5;Действующая;Санкт-Петербург;Санкт-Петербург, Фрунзенский;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;1 965 000;;;887 000;;;1 965 000;;;-486 000;;;;;;;;;;;;;;;;;;;;;;;;;;
1137900000391;АНО «АВТОШКОЛА ПРОФИ-ДВ»;29.11.2013;8,5;Действующая;Еврейская автономная область;Еврейская автономная область, Биробиджан;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;1 228 000;1 215 000;1 438 000;;;;1 228 000;1 215 000;1 438 000;-3 000;-3 000;201 000;;;;;;1 052 000;;;1 052 000;;;;;;1 083 000;;;;;;1 108 000;405 000;405 000;349 000
1115900000700;"АНО ДПО ""АВТОШКОЛА РОСТ""";24.02.2011;11,0;Действующая;Пермский край;Пермский край, Соликамск;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;193 000;184 000;166 000;;;;193 000;184 000;166 000;103 000;131 000;81 000;;;;;;;;;;;;;;;;;;;;;;;;
1167400050806;"АНО ДПО ""АВТОШКОЛА СВЕТОФОР""";06.04.2016;6,0;Действующая;Челябинская область;Челябинская область, Челябинск, Тракторозаводский;Образование профессиональное дополнительное;Автономные некоммерческие организации;;;;;;;;;;211 000;396 000;941 000;34 000;352 000;779 000;211 000;396 000;941 000;21 000;318 000;427 000;;;;;;;;;;;;;;;;;;;;;;;;
1146952018971;"АНОДПО ""АВТОШКОЛА ""УЧЕБНЫЙ КОМБИНАТ""";02.10.2014;7,5;Действующая;Тверская область;Тверская область, Тверь, Центральный;Образование профессиональное дополнительное;Автономные некоммерческие организации;;;;;;;;;;583 000;4 158 000;5 337 000;;;;583 000;4 158 000;5 337 000;546 000;3 393 000;750 000;;;;;;;;;;;;;;;;;;;;;;;;
1166800050042;"АНОПО ""АВТОШКОЛА ""ФОРСАЖ""";20.02.2012;10,0;Действующая;Тамбовская область;Тамбовская область, Тамбов, Ленинский;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;173 000;304 000;143 000;-499 000;-396 000;-251 000;173 000;304 000;143 000;-244 000;102 000;144 000;;;;;;;;;;;;;;;;;;;;;;;;
1153256013129;"ПО АНО ""АВТОШКОЛА ЯГУАР""";04.03.2013;9,0;Действующая;Брянская область;Брянская область, Брянск, Советский;Деятельность школ подготовки водителей автотранспортных средств;Автономные некоммерческие организации;;;;;;;;;;325 000;269 000;422 000;-1 779 000;-820 000;-1 194 000;325 000;269 000;422 000;146 000;959 000;-373 000;;;;;;;;;;;;;;;;;;;;;;;;
1115800001547;"АНО ДПО ""АВТОШКОЛА - ПРОФЕССИОНАЛ КАМЕНКА """;31.08.2011;10,5;Действующая;Пензенская область;Пензенская область, Каменский район, Каменка;Образование профессиональное дополнительное;Автономные некоммерческие организации;;;;;;;;;;488 000;445 000;336 000;328 000;364 000;191 000;488 000;445 000;336 000;159 000;36 000;61 000;;;;;;;;;;;;;;;;;;;;;;;;
1135800000995;"АНО ДПО ""АВТОШКОЛА-ПРОФЕССИОНАЛ СЕРДОБСК""";14.08.2013;8,5;Действующая;Пензенская область;Пензенская область, Сердобский район, Сердобск;Образование профессиональное дополнительное;Автономные некоммерческие организации;;;;;;;;;;1 217 000;773 000;786 000;31 000;191 000;456 000;1 217 000;773 000;786 000;-538 000;-619 000;301 000;;;;;;;;;;;;;;;;;;;;;;;;
1035803014092;"АНО ДПО ""АВТОШКОЛА-ПРОФЕССИОНАЛ""";25.11.2003;18,5;Действующая;Пензенская область;Пензенская область, Пенза, Ленинский;Образование профессиональное дополнительное;Автономные некоммерческие организации;;;;;;;;;;10 821 000;4 508 000;10 340 000;4 760 000;1 409 000;5 244 000;10 821 000;4 508 000;10 340 000;1 365 000;3 266 000;212 000;;;;;;;;;;;;;;;;;;;;;;;;
1130200003812;"АНО ""АГЕНТСТВО РБ ПО ПРЕДПРИНИМАТЕЛЬСТВУ""";27.08.2013;8,5;Действующая;Башкортостан (Республика);Республика Башкортостан, Уфа, Ленинский;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Автономные некоммерческие организации;;;;;;;;;;765 390 000;937 553 000;971 496 000;761 895 000;927 461 000;963 619 000;765 390 000;937 553 000;971 496 000;495 000;10 354 000;-3 568 000;29 919 000;43 106 000;39 966 000;8 330 000;10 354 000;-3 568 000;975 785 000;362 209 000;243 158 000;195 589 000;138 149 000;83 935 000;25 048 000;49 232 000;48 041 000;4 481 000;77 406 000;5 101 000;225 831 000;281 155 000;212 091 000;758 527 000;839 581 000;870 647 000
1127300000585;"АНО ""АГЕНТСТВО СОЦКУЛЬТПРОЕКТОВ""";25.04.2012;10,0;Действующая;Ульяновская область;Ульяновская область, Ульяновск, Ленинский;Деятельность в области исполнительских искусств;Автономные некоммерческие организации;;;;;;;;;;75 000;53 000;891 000;75 000;;891 000;75 000;53 000;891 000;31 000;43 000;41 000;;;;261 000;400 000;145 000;2 098 000;1 236 000;3 242 000;1 957 000;1 160 000;2 208 000;204 000;151 000;143 000;;;;2 161 000;1 311 000;2 351 000;75 000;;891 000
1117799016829;АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ (АСИ), АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ, АСИ;19.08.2011;10,5;Действующая;Москва;Москва, Центральный, Арбат;Исследование конъюнктуры рынка и изучение общественного мнения;Автономные некоммерческие организации;;;;;;;;;;435 084 000;802 947 000;727 729 000;374 598 000;709 999 000;566 173 000;435 084 000;802 947 000;727 729 000;17 402 000;16 852 000;13 575 000;949 673 000;1 046 827 000;1 081 198 000;17 402 000;16 852 000;13 575 000;1 961 737 000;2 329 701 000;2 225 335 000;693 187 000;551 767 000;671 829 000;1 270 642 000;1 303 575 000;1 353 628 000;3 973 000;9 442 000;1 010 000;2 181 818 000;2 192 872 000;2 389 474 000;121 004 000;257 834 000;93 695 000
1026602339444;"НП ""АГЕНТСТВО ТЕАТРАЛЬНЫХ ДЕЛ""";28.10.1996;25,5;Действующая;Свердловская область;Свердловская область, Екатеринбург, Верх-Исетский;Деятельность творческая, деятельность в области искусства и организации развлечений;Некоммерческие партнерства;;;;;;;;;;2 790 000;600 000;1 087 000;;;;2 790 000;600 000;1 087 000;-169 000;-33 000;-476 000;;;;;;;37 597 000;23 863 000;24 881 000;36 344 000;23 000 000;24 519 000;;263 000;142 000;;;;36 344 000;23 263 000;24 661 000;1 253 000;600 000;820 000
1098600001543;"АНО ДПО ""АДА""";30.12.2009;12,5;Действующая;Тюменская область;Тюменская область, Сургут;Образование профессиональное дополнительное;Автономные некоммерческие организации;;;;;;;;;;3 653 000;8 431 000;9 294 000;4 502 000;6 372 000;6 956 000;3 653 000;8 431 000;9 294 000;1 770 000;1 870 000;921 000;1 203 000;;;;;1 870 000;;;1 870 000;;;;;;1 497 000;;;110 000;;;1 870 000;;;
1136900001193;"АБ ""АДВАНТАЖ""";26.07.2013;8,5;Действующая;Тверская область;Тверская область, Тверь, Московский;Деятельность в области права;Адвокатские бюро;;;;;;;;;;590 000;578 000;1 162 000;;;;590 000;578 000;1 162 000;;;;;;;;;;;;;;;;;;;;;;;;;;;
1027806886612;"БФ ""АДВИТА""";01.04.2002;20,0;Действующая;Санкт-Петербург;Санкт-Петербург, Петроградский;Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки;Благотворительные фонды;;;;;;;;;;13 031 000;49 712 000;29 698 000;8 939 000;46 437 000;25 222 000;13 031 000;49 712 000;29 698 000;-678 000;-5 000;-262 000;24 444 000;;;;;;175 349 000;209 947 000;160 437 000;140 740 000;146 340 000;155 419 000;27 881 000;26 108 000;26 233 000;;;;176 017 000;172 448 000;181 652 000;8 938 000;46 436 000;25 221 000
1037739896226;"ФОНД ""АДВОКАТСКАЯ ИНИЦИАТИВА""";07.10.2003;18,5;Действующая;Москва;Москва, Центральный, Хамовники;Издание газет;Фонды;;;;;;;;;;6 674 000;6 445 000;5 660 000;930 000;681 000;571 000;6 674 000;6 445 000;5 660 000;-22 289 000;-24 819 000;-32 680 000;28 310 000;31 712 000;27 944 000;;;;41 512 000;37 528 000;52 955 000;-9 907 000;88 000;9 803 000;-5 241 000;8 735 000;7 130 000;;;;-42 590 000;37 777 000;53 065 000;854 000;605 000;495 000
1196658020900;"АНО ""АЗБУКА ДЕТСКОГО СЧАСТЬЯ""";21.03.2019;3,0;Действующая;Москва;Москва, Центральный, Пресненский;Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки;Автономные некоммерческие организации;;;;;;;;;;3 939 000;7 134 000;19 243 000;2 028 000;2 358 000;14 691 000;3 939 000;7 134 000;19 243 000;160 000;181 000;257 000;;;;161 000;181 000;257 000;6 067 000;7 616 000;20 858 000;3 181 000;4 392 000;5 985 000;419 000;2 767 000;2 272 000;633 000;;;4 283 000;7 286 000;8 525 000;1 784 000;2 114 000;14 447 000
1157700013580;"РЕЛИГИОЗНАЯ ДУХОВНАЯ ПРОФЕССИОНАЛЬНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""АЗОВСКОЕ МЕДРЕСЕ ИСЛАМСКИХ НАУК ИМЕНИ ИМАМА МАТУРИДИ"" ДУХОВНОГО УПРАВЛЕНИЯ МУСУЛЬМАН РЕСПУБЛИКИ КРЫМ И ГОРОДА СЕВАСТОПОЛЬ (ТАВРИЧЕСКИЙ МУФТИЯТ)";25.08.2015;6,5;Действующая;Республика Крым;Республика Крым, Джанкойский, с Майское;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;44 000;29 000;1 572 000;44 000;29 000;1 572 000;44 000;29 000;1 572 000;;;;;;;;;;19 672 000;19 839 000;23 665 000;;;;19 630 000;19 854 000;22 122 000;;;;19 630 000;19 854 000;22 122 000;44 000;29 000;1 572 000
1087799035499;"АССОЦИАЦИЯ ""АИДТ""";10.11.2008;13,5;Действующая;Москва;Москва, Северный, Тимирязевский;Деятельность коммерческих и предпринимательских членских организаций;Объединения юридических лиц;;;;;;;;;;2 724 000;2 243 000;9 572 000;;;;2 724 000;2 243 000;9 572 000;;-4 948 000;1 430 000;;;;18 642 000;7 275 000;12 715 000;31 895 000;20 164 000;29 230 000;8 868 000;10 616 000;22 003 000;14 832 000;4 413 000;5 775 000;;;57 000;30 239 000;21 072 000;28 996 000;1 665 000;757 000;991 000
1137400001419;"АНО ""АИР ЧО""";11.06.2013;9,0;В состоянии банкротства;Челябинская область;Челябинская область, Челябинск, Центральный;Деятельность в области права и бухгалтерского учета;Автономные некоммерческие организации;;;;;;;;;;1 977 000;1 091 000;660 000;1 603 000;810 000;-388 913 000;1 977 000;1 091 000;660 000;43 000;303 000;;6 096 000;;;37 000;302 000;165 000;18 811 000;1 811 000;1 665 000;;;;35 347 000;1 532 000;1 189 000;;64 000;;35 347 000;2 605 000;391 388 000;1 603 000;809 000;-388 913 000
1167700060527;"АНО ДПО ЦПК ""АИС""";18.09.1996;25,5;Действующая;Москва;Москва, Восточный, Перово;Образование профессиональное дополнительное;Автономные некоммерческие организации;;;;;;;;;;31 573 000;36 920 000;36 907 000;17 121 000;23 536 000;26 314 000;31 573 000;36 920 000;36 907 000;13 629 000;6 414 000;2 779 000;;;;;;;;;;;;;;;;;;;;;;;;
1087799027480;"ФОНД ""АЙРИС""";25.06.2008;14,0;Действующая;Москва;Москва, Центральный, Якиманка;Деятельность творческая, деятельность в области искусства и организации развлечений;Фонды;;;;;;;;;;410 855 000;600 238 000;633 475 000;386 697 000;595 148 000;599 917 000;410 855 000;600 238 000;633 475 000;2 937 000;6 455 000;16 827 000;;;;2 938 000;6 455 000;16 827 000;934 836 000;776 957 000;690 943 000;884 213 000;469 475 000;572 632 000;101 143 000;98 418 000;108 395 000;108 031 000;141 683 000;61 975 000;1 093 387 000;709 576 000;743 001 000;78 456 000;145 837 000;93 778 000
