Регистрационный номер;Краткое наименование;Дата регистрации;Возраст компании, лет;Статус;Регион регистрации;Наименование ОКАТО;Вид деятельности/отрасль;Организационно-правовая форма;2019, Доходы, RUB;2020, Доходы, RUB;2021, Доходы, RUB;2019, Расходы, RUB;2020, Расходы, RUB;2021, Расходы, RUB;2019, Налоги, RUB;2020, Налоги, RUB;2021, Налоги, RUB;2019, Активы  всего, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2019, Капитал и резервы, RUB;2020, Капитал и резервы, RUB;2021, Капитал и резервы, RUB;2019, Пассивы всего, RUB;2020, Пассивы всего, RUB;2021, Пассивы всего, RUB;2019, Чистая прибыль (убыток), RUB;2020, Чистая прибыль (убыток), RUB;2021, Чистая прибыль (убыток), RUB;2019, Оплата труда, RUB;2020, Оплата труда, RUB;2021, Оплата труда, RUB;2019, Прибыль от приносящей доход деятельности, RUB;2020, Прибыль от приносящей доход деятельности, RUB;2021, Прибыль от приносящей доход деятельности, RUB;2019, Всего поступило средств, RUB;2020, Всего поступило средств, RUB;2021, Всего поступило средств, RUB;2019, Расходы на целевые мероприятия, RUB;2020, Расходы на целевые мероприятия, RUB;2021, Расходы на целевые мероприятия, RUB;2019, Расходы на содержание аппарата управления, RUB;2020, Расходы на содержание аппарата управления, RUB;2021, Расходы на содержание аппарата управления, RUB;2019, Приобретение основных средств, инвентаря и иного имущества, RUB;2020, Приобретение основных средств, инвентаря и иного имущества, RUB;2021, Приобретение основных средств, инвентаря и иного имущества, RUB;2019, Всего использовано средств, RUB;2020, Всего использовано средств, RUB;2021, Всего использовано средств, RUB;2019, Остаток средств на конец отчетного года, RUB;2020, Остаток средств на конец отчетного года, RUB;2021, Остаток средств на конец отчетного года, RUB
1094200000069;МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА ВХОДА ГОСПОДНЯ ВО ИЕРУСАЛИМ ЖИЛОГО РАЙОНА ЛЕСНАЯ ПОЛЯНА Г. КЕМЕРОВО КЕМЕРОВСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ);30.01.2009;13,0;Действующая;Кемеровская область;Кемеровская область, Кемерово, Рудничный;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;578 000;;;;;;578 000;;;;;;;;;;;;1 394 000;;;;;;1 354 000;;;;;;1 354 000;;;40 000;;
1025203029390;"ФОНД ""КУЛЬТУРНАЯ СТОЛИЦА ПОВОЛЖЬЯ""";01.02.2002;20,0;Действующая;Нижегородская область;Нижегородская область, Нижний Новгород, Нижегородский;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Общественные фонды;;;;;;;;;;5 375 000;2 091 000;4 048 000;5 375 000;2 091 000;4 048 000;5 375 000;2 091 000;4 048 000;;;;;;;;;;5 996 000;2 067 000;7 489 000;6 821 000;2 888 000;2 984 000;1 409 000;2 463 000;2 548 000;;569 000;25 000;8 230 000;5 920 000;5 557 000;4 855 000;1 002 000;2 934 000
1137799007170;"АНО ""КУЛЬТУРНО-ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР ""ГЛОБАЛЬНЫЙ МИР""";05.04.2013;9,0;Действующая;Москва;Москва, Юго-Западный, Гагаринский;Предоставление услуг по дневному уходу за детьми;Автономные некоммерческие организации;;;;;;;;;;473 000;470 000;455 000;-2 979 000;-3 501 000;-3 904 000;473 000;470 000;455 000;-961 000;-522 000;-403 000;1 326 000;1 187 000;688 000;;;;;;38 000;;;;;;38 000;;;;;;38 000;;;
1118624000076;"ХАНТЫ-МАНСИЙСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКИЙ ЦЕНТР ""ГАРМОНИЯ""";23.08.2011;10,5;Действующая;Тюменская область;Тюменская область, Ханты-Мансийск;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 541 000;816 000;148 000;;883 000;142 000;1 767 000;;;;;;1 811 000;902 000;152 000;94 000;8 000;4 000
1137799011932;"БФ ""КУЛЬТУРНЫЕ СЕЗОНЫ""";10.06.2013;9,0;Действующая;Москва;Москва, Юго-Восточный, Люблино;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Благотворительные фонды;;;;;;;;;;5 509 000;7 015 000;8 759 000;;3 758 000;2 970 000;5 509 000;7 015 000;8 759 000;;;;;3 934 000;3 609 000;;;;58 717 000;19 152 000;17 844 000;;15 342 000;13 205 000;2 951 000;2 397 000;3 869 000;;;;58 779 000;17 739 000;17 074 000;3 460 000;1 412 000;2 956 000
1024500000799;"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""КУРГАНСКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""";23.04.1993;29,0;Действующая;Курганская область;Курганская область, Курган;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;2 042 000;12 170 000;11 998 000;2 042 000;8 285 000;11 895 000;2 042 000;12 170 000;11 998 000;1 400 000;150 000;;;;;;;1 450 000;30 229 000;27 183 000;22 696 000;10 683 000;8 501 000;3 933 000;12 033 000;10 179 000;17 129 000;594 000;2 608 000;327 000;30 229 000;26 857 000;22 068 000;;326 000;954 000
1034593000430;"""КУРГАНСКИЙ СОЮЗ ЖУРНАЛИСТОВ""";22.11.1990;31,5;Действующая;Курганская область;Курганская область, Курган;Деятельность профессиональных членских организаций;Общественные организации;;;;;;;;;;8;3 000;560 000;8;3 000;;8;3 000;560 000;;;;;;529 000;;;;470;105 000;1 998 000;478;103 000;1 444 000;4;6 000;;;;;486;110 000;1 444 000;8;3 000;557 000
1022601622108;"ЛПУП ""КУРОРТНАЯ ПОЛИКЛИНИКА ИМ. Н.И. ПИРОГОВА С ПАНСИОНАТОМ С ЛЕЧЕНИЕМ ""ИСКРА""";29.06.1999;23,0;Действующая;Ставропольский край;Ставропольский край, Пятигорск;Деятельность санаторно-курортных организаций;Частные учреждения;;;;;;;;;;21 140 000;25 212 000;24 040 000;11 712 000;1 393 000;9 752 000;21 140 000;25 212 000;24 040 000;4 661 000;-10 314 000;8 832 000;34 729 000;29 076 000;39 657 000;;;;;;;;;;;;;;;;;;;;;
1159102098320;КФС;29.05.2015;7,0;Действующая;Республика Крым;Республика Крым, Симферополь;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;1 314 000;746 000;36 000;;;;1 314 000;746 000;36 000;;;;;;;;;;4 608 000;2 443 000;10 000;3 704 000;2 970 000;693 000;27 000;10 000;27 000;;;;3 916 000;2 980 000;720 000;1 283 000;746 000;36 000
1159102106657;КФС;09.07.2015;7,0;Действующая;Республика Крым;Республика Крым, Симферополь;Деятельность в области спорта прочая;Союзы (ассоциации) общественных объединений;;;;;;;;;;12 604 000;5 189 000;47 000;;;;12 604 000;5 189 000;47 000;;;;;;;;;;169 165 000;122 506 000;107 720 000;124 076 000;90 580 000;73 043 000;31 562 000;35 485 000;35 111 000;;;;166 861 000;130 011 000;112 797 000;12 587 000;5 082 000;5 000
1159102073107;ППОО КФУ ИМЕНИ В.И. ВЕРНАДСКОГО;17.03.2015;7,0;Действующая;Республика Крым;Республика Крым, Симферополь;Деятельность профессиональных союзов;Общественные организации;;;;;;;;;;2 563 000;2 210 000;2 744 000;2 427 000;2 210 000;2 744 000;2 563 000;2 210 000;2 744 000;91 000;;;;;;;;;10 794 000;9 815 000;7 996 000;3 115 000;3 412 000;2 657 000;5 808 000;5 238 000;4 805 000;;;;8 923 000;8 650 000;7 462 000;2 427 000;2 210 000;2 744 000
