name,ogrn,status,region,okopf,okopf_id
"ПОЧЁТНЫЙ ДОНОР, НБФ",1087200000656,Действующая,Тюменская область,Благотворительные фонды,70401
"ПП ВИЛЮЙСКОГО УЛУСА, ФОНД",1021400642845,Действующая,Саха (Республика) (Якутия),Фонды,70400
"ПП ГОРОДА АК-ДОВУРАКА, ФОНД",1091700000336,Действующая,Тыва (Республика),Фонды,70400
"ПП ДЗУН-ХЕМЧИКСКОГО КОЖУУНА, ФОНД",1101700000115,Действующая,Тыва (Республика),Фонды,70400
"ПП КАА-ХЕМСКОГО РАЙОНА, ФОНД",1091700000391,Действующая,Тыва (Республика),Фонды,70400
"ПП ПИЙ-ХЕМСКОГО КОЖУУНА, ФОНД",1091700000457,Действующая,Тыва (Республика),Фонды,70400
"ПП ТК, ФОНД",1191700000326,Действующая,Тыва (Республика),Фонды,70400
"ПР ОУ ФЕНИКС, ФОНД",1065400042586,Действующая,Новосибирская область,Фонды,70400
"ПР СКШ № 60, ФОНД",1065400042278,Действующая,Новосибирская область,Фонды,70400
"ПРАВО ЖИТЬ, ФОНД ПОМОЩИ",1193850022607,Действующая,Иркутская область,Фонды,70400
"ПРАВО И БЕЗОПАСНОСТЬ, ФОНД",1065400044270,Действующая,Новосибирская область,Фонды,70400
"ПРАВО И ДЕМОКРАТИЯ, ФОНД",1043801029051,Ликвидируется,Иркутская область,Фонды,70400
"ПРАВО МАТЕРИ, КУРГАНСКИЙ ФОНД",1034593004115,Действующая,Курганская область,Благотворительные фонды,70401
"ПРАВО НА БУДУЩЕЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1125400003728,Действующая,Новосибирская область,Благотворительные фонды,70401
"ПРАВО НА ДЕТСТВО, ОФ",1117000000325,Действующая,Томская область,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1136500000251,Действующая,Сахалинская область,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1128624000295,Действующая,Тюменская область,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ, БФ",1122202001338,Действующая,Алтайский край,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ, БФ",1200900000432,Действующая,Карачаево-Черкесская Республика,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ, БФ",1143850022975,Действующая,Иркутская область,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ, ГОБФ",1035400001141,Действующая,Новосибирская область,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ, ФОНД",1128900000460,Действующая,Тюменская область,Фонды,70400
"ПРАВО НА ЖИЗНЬ, ФОНД",1212500008885,Действующая,Приморский край,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ. МАКАРОВ, БФ",1206500005722,Действующая,Сахалинская область,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ. НЕВЕЛЬСК, НО БФ ПБЖ",1226500002960,Действующая,Сахалинская область,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ. ПОРОНАЙСК, БФ",1206500004809,Действующая,Сахалинская область,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ.ДОЛИНСК, БФПБЖ",1196500000674,Действующая,Сахалинская область,Благотворительные фонды,70401
"ПРАВО НА ЖИЗНЬ.КОРСАКОВ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1196500000091,Действующая,Сахалинская область,Благотворительные фонды,70401
"ПРАВОВАЯ ИНИЦИАТИВА, НОФ",1050603011480,Действующая,Ингушетия (Республика),Фонды,70400
"ПРАВОВАЯ МИССИЯ, ФОНД",1097400000312,Ликвидируется,Челябинская область,Фонды,70400
"ПРАВОВИК, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1169600003594,Действующая,Свердловская область,Благотворительные фонды,70401
"СОХРАНЕНИЯ И РАЗВИТИЯ НАСЛЕДИЯ КМН ПК ИМ.Е.А.ГАЕР, ФОНД",1172500001981,Действующая,Приморский край,Фонды,70400
"правовых инициатив юрфака ИГУ, ФОНД",1033801055298,Действующая,Иркутская область,Общественные фонды,70403
"ПРАВОЗАЩИТА, ИРКУТСКИЙ РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД",1033800006052,Действующая,Иркутская область,Общественные фонды,70403
"ПРАВОПОРЯДОК, ФОНД",1202500017367,Действующая,Приморский край,Фонды,70400
"ПРАВОПОРЯДОК, ФОНД",1152500000091,Действующая,Приморский край,Фонды,70400
"ПРАВОПОРЯДОК, ФОНД",1185543009850,Действующая,Омская область,Фонды,70400
"ПРАВОПОРЯДОК-ЦЕНТР, ХРО ФОНД",1022700002720,Действующая,Хабаровский край,Общественные фонды,70403
"ПРАВОПОРЯДОК-ЦЕНТР, ЧРО МОФ",1037400003849,Действующая,Челябинская область,Общественные фонды,70403
"ПРАВОСЛАВИЕ, ФОНД",1196658062688,Действующая,Свердловская область,Фонды,70400
"ПРАВОСЛАВИЕ, ФОНД",1095400002500,Действующая,Новосибирская область,Фонды,70400
"ПРАВОСЛАВНОЕ ВОЗРОЖДЕНИЕ, ФОНД",1088900000089,Действующая,Тюменская область,Благотворительные фонды,70401
"ПРАВОСЛАВНЫЕ МЕЦЕНАТЫ, НБФ",1078600000335,Действующая,Тюменская область,Благотворительные фонды,70401
"ПРАГМАТИК, ФРПС И ПК",1082400002717,Действующая,Красноярский край,Фонды,70400
"ПРАЗДНИК ЖИЗНИ, БФ",1021401070503,Действующая,Саха (Республика) (Якутия),Благотворительные фонды,70401
"ПРАЗДНОВАНИЕ ГОРОДСКИХ МЕРОПРИЯТИЙ, ФОНД",1067453006829,Ликвидируется,Челябинская область,Фонды,70400
"ПРЕДАННОЕ СЕРДЦЕ, ФОНД",1167400052203,Действующая,Челябинская область,Фонды,70400
"ПРЕДАННОСТЬ, МГОФ ЗБЖ",1127400004203,Действующая,Челябинская область,Общественные фонды,70403
"ПРЕДПРИНИМАТЕЛЕЙ ТЮМЕНЦЕВСКОГО РАЙОНА, ФОНД",1112202000624,Ликвидируется,Алтайский край,Благотворительные фонды,70401
"ПРЕДПРИНИМАТЕЛЬСТВА, ФОНД",1036600620462,Действующая,Свердловская область,Фонды,70400
"ПРЕДТЕЧА, ФОНД",1082500001638,Действующая,Приморский край,Фонды,70400
"ФОНД ПОДДЕРЖКИ МИСП Г.ЗИМЫ И ЗИМИНСКОГО Р-НА, МКК",1113850040963,Действующая,Иркутская область,Фонды,70400
"ПРЕОБРАЖЕНИЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1063800022582,Действующая,Иркутская область,Благотворительные фонды,70401
"ПРЕОБРАЖЕНИЕ, БФ",1132225901884,Действующая,Алтайский край,Благотворительные фонды,70401
"ПРЕОБРАЖЕНИЕ, НБФ",1080400000053,Действующая,Алтай (Республика),Благотворительные фонды,70401
"ПРЕОБРАЖЕНИЕ, НО БФ",1108900000406,Действующая,Тюменская область,Благотворительные фонды,70401
"ПРЕОБРАЖЕНИЕ, НОБФ",1086600002708,Действующая,Свердловская область,Благотворительные фонды,70401
"ПРЕОДОЛЕНИЕ, ФОНД",1212600008851,Действующая,Ставропольский край,Фонды,70400
"ПРЕОДОЛЕНИЕ, ФОНД",1190571008803,Действующая,Дагестан (Республика),Фонды,70400
"ПРЕССА ГАЗЕТЫ КАМЫШЛОВСКИЕ ИЗВЕСТИЯ, ФОНД ПОДДЕРЖКИ",1026601076952,Действующая,Свердловская область,Фонды,70400
"РОССИЙСКИЙ ДЕТСКИЙ ФОНД ., СЕВЕРО-ОСЕТИНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОГО ОБЩЕСТВЕННОГО БЛАГОТВОРИТЕЛЬНОГО ФОНДА",1031500000180,Действующая,Северная Осетия-Алания (Республика),Благотворительные фонды,70401
"ПРЗ КЧР, ФОНД",1070900000071,Действующая,Карачаево-Черкесская Республика,Фонды,70400
"ПРИ АДМИНИСТРАЦИИ ЭРЗИНСКОГО КОЖУУНА, ФОНД ПМП",1021700595510,Действующая,Тыва (Республика),Фонды,70400
"ПРИАМУРЬЕ, ФРИСТ ХК",1152700000430,Ликвидируется,Хабаровский край,Фонды,70400
"ПРИБАЙКАЛЬЕ, ФПМП",1028500598730,Действующая,Иркутская область,Фонды,70400
"ПРИБАЙКАЛЬСКИЙ, ФОНД",1113850033879,Действующая,Иркутская область,Фонды,70400
"ПРИБАЙКАЛЬЯ, ФОНД",1173850019793,Действующая,Иркутская область,Фонды,70400
"ПРИЗВАНИЕ, ФОНД",1101500000690,Действующая,Северная Осетия-Алания (Республика),Фонды,70400
"ПРИЗМА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1215500010098,Действующая,Омская область,Благотворительные фонды,70401
"ПРИЗНАНИЕ, БФ",1095500001805,Действующая,Омская область,Благотворительные фонды,70401
"ПРИЗНАНИЕ, ФОНД",1127232022060,Действующая,Тюменская область,Благотворительные фонды,70401
"ПРИИРТЫШЬЕ, ФОНД",1155543019389,Действующая,Омская область,Фонды,70400
"ПРИКОСНИСЬ К ДОБРУ, БФ",1176600000433,Действующая,Свердловская область,Благотворительные фонды,70401
"ПРИКОСНИСЬ К ДОБРУ, БФ ПДН",1216600059510,Действующая,Свердловская область,Благотворительные фонды,70401
"ПРИКОСНОВЕНИЕ К ЖИЗНИ, БФ",1147400001022,Действующая,Челябинская область,Благотворительные фонды,70401
"ПРИМИРЕНИЕ, ФОНД",1120500001973,Действующая,Дагестан (Республика),Фонды,70400
"ПРИМОРСКИЕ СТРУНЫ, ФОНД",1132500000896,Действующая,Приморский край,Благотворительные фонды,70401
"ПРИМОРСКИЙ ПАРУС НАДЕЖДЫ, БФ",1212500005981,Действующая,Приморский край,Благотворительные фонды,70401
ПРИМОРСКИЙ ФПРСР,1022500000050,Действующая,Приморский край,Фонды,70400
"ПРИОРИТЕТ, ФОНД РАЗВИТИЯ КАЯКЕНТСКОГО РАЙОНА",1150500000045,Действующая,Дагестан (Республика),Фонды,70400
"ПРИОРИТЕТЫ ЖИЗНИ, БФ",1196658066934,Действующая,Свердловская область,Благотворительные фонды,70401
"ПРИРОДА И ЖИЗНЬ, ФОНД",1069671032991,Действующая,Свердловская область,Фонды,70400
"ПРИРОДА, БФ",1202600012240,Действующая,Ставропольский край,Благотворительные фонды,70401
"ПРИЧАЛ ДОБРА, БФ",1182468045495,Действующая,Красноярский край,Благотворительные фонды,70401
"ПРИЮТ, ТРОБФ",1027000005438,Действующая,Томская область,Благотворительные фонды,70401
"ПРКК, ФОНД",1144100000220,Действующая,Камчатский край,Фонды,70400
ПРО БУДУЩЕЕ,1215400042043,Действующая,Новосибирская область,Благотворительные фонды,70401
"ПРОВИНЦИЯ & ГОРОД, ФОНД",1192500000967,Действующая,Приморский край,Фонды,70400
"ПРОГРЕСС, БФ",1210600004647,Действующая,Ингушетия (Республика),Благотворительные фонды,70401
"ПРОГРЕСС, БФ ФРГО",1152468063054,Действующая,Красноярский край,Фонды,70400
"ПРОГРЕСС, МФПМП",1020502527649,Ликвидируется,Дагестан (Республика),Фонды,70400
"РАЗВИТИЯ И ПОДДЕРЖКИ ДЕТСКОГО ТВОРЧЕСТВА И СПОРТА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1186658084260,Действующая,Свердловская область,Благотворительные фонды,70401
"ПРОГРЕСС, ФОНД ГОРОДСКИХ ИНИЦИАТИВ",1173850023181,Действующая,Иркутская область,Фонды,70400
"ПРОДВИЖЕНИЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197232016520,Действующая,Тюменская область,Благотворительные фонды,70401
"ПРОДВИЖЕНИЕ, СФУЦК",1147400000505,Действующая,Челябинская область,Фонды,70400
