website,robots_txt,sitemap_page,is_sitemap_in_robots,ogrn
http://kupnokreml.ru,True,True,True,1205200021729
http://пайтон.рф,True,True,True,1205200021729
http://rcckk.ru,True,True,False,1202300053614
http://12schoolkazan.ru,True,True,True,1201600069923
http://aleader.ru,True,True,False,1206600052097
http://anoindart.ru,True,True,False,1207800044363
http://syngen.ru,False,False,False,1207700269864
http://visit-kaliningrad.ru,True,True,True,1203900004505
http://bflot.ru,False,False,False,1207800098505
http://rapirvms.ru,True,False,False,1207800098505
http://рапир.рф,True,False,False,1207800098505
http://рапирвмс.рф,True,False,False,1207800098505
http://kituniver.ru,True,False,False,1201800019431
http://fond-veteranov.ru,True,True,False,1207700437944
http://ano-propotok.ru,True,True,False,1201900000268
http://sdo-smino.ru,False,False,False,1205400059457
http://smino.ru,True,True,True,1205400059457
http://vitakids.ru,True,True,True,1205900006025
http://special-care.ru,False,False,False,1204800012053
http://anodvigenie.ru,True,True,True,1204300002521
http://opendpo.ru,False,False,False,1207200014537
http://5nab-vl.ru,True,True,True,1202500004850
http://primteam25.ru,True,False,False,1202500004850
http://myofficehub.ru,True,True,False,1207700059071
http://udludom77.ru,True,True,True,1207700139393
http://bsi-48.ru,True,True,True,1204800015111
http://upornv.ru,True,True,True,1208600013324
http://perekretsok-uray.ru,True,False,False,1208600003952
http://свободаучиться.рф,True,True,True,1205900031611
http://www.vympel-center.ru,True,True,True,1207700141990
http://sc-otdushina.ru,False,False,False,1207700333477
http://vernap.ru,False,False,False,1207700379149
http://vernoenapravlenie.ru,True,False,False,1207700379149
http://вернап.рф,True,False,False,1207700379149
http://верноенаправление.рф,True,False,False,1207700379149
http://ssambo.ru,False,False,False,1207700379589
http://nipkef.ru,True,False,False,1207700498653
http://wildbeehive.ru,True,True,True,1200200044692
http://resursdoo.ru,True,True,True,1202100007438
http://safeholidays.ru,True,True,True,1202100007438
https://fond-vl.ru,True,True,False,1205000088490
http://drh-moskau.ru,True,True,False,1207700222421
http://fond30.ru,False,False,False,1203000000390
