,ogrn,website,CMS
128,1037739267532,http://fond-zerno.ru,Joomla
129,1037739340319,http://www.mostrud.ru,Unknown
130,1036603497050,http://russiankids.ru,Wp
131,1035000034024,http://ortd-druzhba.ru,Unknown
132,1037800015384,http://hopeww.ru,Wordpress
133,1037739836859,http://ecocamp.ru,DataLife Engine (http://dle-news.ru)
134,1037700008994,http://www.arabesk.su,Joomla
135,1037739646570,http://taekwondo-moscow.ru,Wordpress
136,1035600002030,http://orenburg-vog.ru,Unknown
137,1030200007914,http://ufa-voi.ru,Wordpress
138,1030200020201,http://ffufa.ru,DataLife Engine (http://dle-news.ru)
139,1037739468821,http://www.ritual.org.ru,Ucoz
140,1035000036830,http://fc-ross.ru,Unknown
141,1035000016556,http://www.tpplo.ru,Unknown
142,1034690002599,http://щигровская-епархия.рф,Joomla
143,1037858009200,http://ftsspb.ru,Unknown
144,1037843109501,http://богословка.рф,Unknown
145,1036300997204,http://www.yellow-pages.ru/ladaexpert,Unknown
146,1036300667040,http://paritet163.ru,Unknown
147,1032335041287,http://stosur.ru,Unknown
148,1032335004052,http://mostovskoevoa.ru,Joomla
149,1037739081720,http://www.start7.ru,Divi v.4.5.1
150,1036604385036,http://uta-psn.ru,Bitrix
151,1037739217944,http://hramvkuntsevo.ru,Wordpress
152,1031800201091,http://igrafond.ru,Bitrix
153,1036300444135,http://revsouzsv.ru,Joomla
154,1035400000591,http://deti.websib.ru,Unknown
155,1035000021363,http://fund-olga.ru,Incorrect html
156,1036303384270,http://soav-samara.ru,Unknown
157,1037700069725,http://www.livingthread.ru,Joomla
158,1037700094630,http://www.veterany.ru,Unknown
159,1037739028524,http://www.moscow-painters.ru,Unknown
160,1037402320955,http://spasi-menia.ru,Wordpress
161,1036303389792,http://galaktyane.ru,Unknown
162,1036303386437,http://grushinskij.ru,Wordpress
163,1036303390364,http://yarrell.ru,Strawberry 1.1.1 - http://strawberry.goodgirl.ru/
164,1036303395105,http://samara.ruy.ru,Bitrix
165,1037739055551,http://www.crfr.ru,Unknown
166,1037746006759,http://пентатлон.рф,Unknown
167,1032700000343,http://catholickhabarovsk.ru,Non-working site
168,1037739308067,http://clubvi.ru,Unknown
169,1036303380156,http://medrese-gali.ru,Wordpress
170,1037739463486,http://mozartsociety.ru,Tilda
171,1037739295318,http://vera-lab.ru,Unknown
172,1037739557250,http://novosibzemlya.ru,Drupal
173,1036200002365,http://trinityrzn.ru,Wordpress
174,1037739575037,http://www.helenru.narod.ru,Ucoz
175,1037739455357,http://www.alta.ru,Unknown
176,1036303395776,http://новаясемья.рф,Unknown
177,1037739774786,http://rusfdcal.ru,Unknown
178,1037739041086,http://www.charity-tcf.ru,Unknown
179,1036605604386,http://chance-fond.ru,Modx evolution
180,1037739350923,http://zadetej.ru,Unknown
181,1037739653104,http://iveroni.ru,Unknown
182,1037746022346,http://www.powereng.ru,Wordpress
183,1035800001588,http://klub-rovesniki58.ru,Wordpress
184,1037706007173,http://zhitnaya-hram.ru,Wordpress
185,1036800002700,http://носовскиймонастырь.рф,Modx evolution
186,1031659019050,http://sovetveteranov-almet.ru,Wix
187,1037739275265,http://www.triad.ru,Unknown
188,1037739274264,http://prichod.ru,Bitrix
189,1037858003347,http://greatbear.ru,Joomla
190,1037739243684,http://www.mmcfo.ru,Unknown
191,1033400263566,http://коллегия-адвокатов-содействие.рф,Unknown
192,1037843103286,http://iacis.ru,Unknown
193,1035800008551,http://kuzneparhia.ru,Wordpress
194,1032100001218,http://stpmm.ru,Bitrix
195,1033600153025,http://vuc-energetik.ru,Wordpress
196,1032700000673,http://двопп.рф,Incorrect html
197,1035001607596,http://teatr-flamingo.ru,Unknown
198,1037735025240,http://bfsd.ru,Wordpress
199,1035500000040,http://dinamo.omsk.ru,Unknown
200,1037710043810,http://riocenter.ru,Wordpress
201,1037726018714,http://exstandart.ru,Wordpress
202,1037739343685,http://tchaikovsky.ucoz.ru,Ucoz
203,1036303380035,http://samelprof.ru,Unknown
204,1036303382499,http://baptizm.ru,Wordpress
205,1037858011993,http://www.pb96.narod.ru,Ucoz
206,1037858027888,http://www.s-o-k.ru,Unknown
207,1037739393713,http://www.greenpeace.ru,Wordpress
208,1037700079922,http://svgvg.ru,Joomla
209,1093400005071,http://lawprotect.ru,Wordpress
210,1093400000605,http://advokatvash.ru,Bitrix
211,1093400004312,https://adm-novayanadezhda.ru,Wordpress
212,1097800003509,http://mooasp.ru,Joomla
