ogrn,website,bin_robots,bin_sitemap,bin_fb,bin_vk,bin_ig,bin_ok,bin_youtube,bin_tiktok,bin_donation,wcag_score,mean_page_speed,bin_title,bin_headings,bin_mob_friendly,bin_ssl,bin_socnet
1026600003385,stoprofavtodor.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.5433333333333333,1.0,0.0,,0.0,0.0
1035900004040,vozrozhdenie59.ru,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.896551724137931,0.9033333333333332,1.0,1.0,0.0,0.0,0.16666666666666666
1023400004737,stalingradgorodmira.ru,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9491525423728814,0.9533333333333336,1.0,1.0,1.0,0.0,0.5
1027739842833,ooa-nikulino.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896551724137931,0.91,1.0,1.0,1.0,0.0,0.0
1026700011898,smolvog.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5517241379310345,0.93,1.0,0.0,0.0,1.0,0.0
1022700001708,вои-кмс.рф,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.896551724137931,0.8133333333333335,1.0,1.0,0.0,0.0,0.3333333333333333
1037739578821,www.choir.msu.ru,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6133333333333333,1.0,1.0,,0.0,0.5
1027200000761,oblprof.ru,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6388888888888888,0.1633333333333333,1.0,0.0,,0.0,0.0
1027739170580,logic.ru,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1566666666666666,1.0,1.0,,0.0,0.5
1023100001980,grprofkom.ru,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9230769230769232,0.97,1.0,1.0,1.0,0.0,0.16666666666666666
1032335008518,profchtn.ru,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4482758620689655,0.9633333333333334,1.0,0.0,1.0,0.0,0.5
1037700227575,www.fgssr.ru,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.8766666666666666,1.0,1.0,0.0,0.0,0.6666666666666666
1023202735577,bryanskfpo.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8983050847457628,0.92,1.0,0.0,1.0,1.0,0.0
1025900004140,пермский-писатель.рф,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.717391304347826,0.54,1.0,0.0,,0.0,0.3333333333333333
1192901000203,sevznan.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611111111111111,0.9966666666666668,1.0,0.0,0.0,0.0,0.0
