id,title,score,numericValue,numericUnit,website
first-contentful-paint,First Contentful Paint,0.93,863.0,millisecond,http://zlatmasters.ru
interactive,Time to Interactive,0.02,12318.5,millisecond,http://fck-tsu68.ru
largest-contentful-paint,Largest Contentful Paint,0.44,2600.0,millisecond,http://fck-tsu68.ru
first-contentful-paint,First Contentful Paint,0.98,676.0,millisecond,http://fck-tsu68.ru
interactive,Time to Interactive,1.0,710.0,millisecond,http://srobaltenergo.ru
largest-contentful-paint,Largest Contentful Paint,0.99,730.0,millisecond,http://srobaltenergo.ru
first-contentful-paint,First Contentful Paint,0.98,690.0,millisecond,http://srobaltenergo.ru
interactive,Time to Interactive,0.93,2224.0,millisecond,http://neuromuscular.ru
largest-contentful-paint,Largest Contentful Paint,0.61,2054.0,millisecond,http://neuromuscular.ru
first-contentful-paint,First Contentful Paint,0.91,920.0,millisecond,http://neuromuscular.ru
interactive,Time to Interactive,0.31,5692.0,millisecond,http://mgc-samara.ru
largest-contentful-paint,Largest Contentful Paint,0.22,3630.0,millisecond,http://mgc-samara.ru
first-contentful-paint,First Contentful Paint,0.17,2385.0,millisecond,http://mgc-samara.ru
interactive,Time to Interactive,1.0,840.0,millisecond,http://dosaaf-koms.ru
