id,title,score,numericValue,numericUnit,website
interactive,Time to Interactive,0.83,2889.0,millisecond,http://elbrus-dosaaf.ru
largest-contentful-paint,Largest Contentful Paint,0.55,2232.0,millisecond,http://elbrus-dosaaf.ru
first-contentful-paint,First Contentful Paint,0.88,970.0,millisecond,http://elbrus-dosaaf.ru
interactive,Time to Interactive,0.67,3683.0,millisecond,http://dosaaf-anapa.ru
largest-contentful-paint,Largest Contentful Paint,0.28,3276.5,millisecond,http://dosaaf-anapa.ru
first-contentful-paint,First Contentful Paint,0.75,1204.5,millisecond,http://dosaaf-anapa.ru
interactive,Time to Interactive,0.82,2918.0,millisecond,http://gul-dosaaf.ru
largest-contentful-paint,Largest Contentful Paint,0.97,880.0,millisecond,http://gul-dosaaf.ru
first-contentful-paint,First Contentful Paint,0.92,880.0,millisecond,http://gul-dosaaf.ru
interactive,Time to Interactive,0.99,1348.0,millisecond,http://ust-lab-mo-dosaaf.ru
largest-contentful-paint,Largest Contentful Paint,0.88,1269.0,millisecond,http://ust-lab-mo-dosaaf.ru
first-contentful-paint,First Contentful Paint,0.87,990.0,millisecond,http://ust-lab-mo-dosaaf.ru
interactive,Time to Interactive,0.96,1958.5,millisecond,http://nazgs.ru
largest-contentful-paint,Largest Contentful Paint,0.65,1935.0,millisecond,http://nazgs.ru
first-contentful-paint,First Contentful Paint,0.98,675.0,millisecond,http://nazgs.ru
interactive,Time to Interactive,0.96,1976.0,millisecond,http://mfbg.ru
largest-contentful-paint,Largest Contentful Paint,0.74,1705.0,millisecond,http://mfbg.ru
first-contentful-paint,First Contentful Paint,1.0,502.0,millisecond,http://mfbg.ru
interactive,Time to Interactive,1.0,985.0,millisecond,http://ilimfond.ru
largest-contentful-paint,Largest Contentful Paint,0.95,985.0,millisecond,http://ilimfond.ru
first-contentful-paint,First Contentful Paint,0.88,985.0,millisecond,http://ilimfond.ru
interactive,Time to Interactive,0.16,7152.5,millisecond,http://dosaaf48.ru
largest-contentful-paint,Largest Contentful Paint,0.52,2326.5,millisecond,http://dosaaf48.ru
first-contentful-paint,First Contentful Paint,0.86,1025.0,millisecond,http://dosaaf48.ru
interactive,Time to Interactive,1.0,1285.0,millisecond,http://legkie.org
largest-contentful-paint,Largest Contentful Paint,0.87,1305.0,millisecond,http://legkie.org
first-contentful-paint,First Contentful Paint,0.7,1285.0,millisecond,http://legkie.org
interactive,Time to Interactive,1.0,1085.0,millisecond,http://mmoma.ru
largest-contentful-paint,Largest Contentful Paint,0.42,2660.0,millisecond,http://mmoma.ru
first-contentful-paint,First Contentful Paint,0.91,910.5,millisecond,http://mmoma.ru
interactive,Time to Interactive,0.56,4185.5,millisecond,http://dosaaf.ru
largest-contentful-paint,Largest Contentful Paint,0.16,4121.0,millisecond,http://dosaaf.ru
first-contentful-paint,First Contentful Paint,0.36,1855.0,millisecond,http://dosaaf.ru
interactive,Time to Interactive,1.0,1050.0,millisecond,http://тамбовкадосааф.рф
largest-contentful-paint,Largest Contentful Paint,0.7,1810.0,millisecond,http://тамбовкадосааф.рф
first-contentful-paint,First Contentful Paint,0.84,1050.0,millisecond,http://тамбовкадосааф.рф
interactive,Time to Interactive,1.0,570.0,millisecond,http://karate-info.ru
largest-contentful-paint,Largest Contentful Paint,0.9,1216.0,millisecond,http://karate-info.ru
first-contentful-paint,First Contentful Paint,0.99,570.0,millisecond,http://karate-info.ru
interactive,Time to Interactive,0.95,2087.5,millisecond,http://urh-nao.ru
