vk,count_members,count_posts_all,count_posts_per_month,likes_overall_all,likes_mean_all,comments_overall_all,comments_mean_all,reposts_overall_all,reposts_mean_all,views_overall_all,views_mean_all,ads_overall_all,ads_mean_all,ogrn,shortName,fullName,field,website,group_id
https://vk.com/35voi,169.0,815.0,10.0,236.0,11.8,32.0,1.6,236.0,11.8,3941.0,197.05,0.0,0.0,1023500000050,"Вологодская Областная Организация Общероссийской Общественной Организации ""Всероссийское Общество Инвалидов""(ВОО ВОИ","ВОЛОГОДСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ИНВАЛИДОВ""(ВОО ВОИ).",Инвалиды,35voi.ru,35voi
https://vk.com/36rck,123.0,106.0,6.67,100.0,5.0,3.0,0.15,100.0,5.0,1506.0,75.3,0.0,0.0,1203600028752,"АНО ""РЦК""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕГИОНАЛЬНЫЙ ЦЕНТР КОМПЕТЕНЦИЙ В СФЕРЕ ПРОИЗВОДИТЕЛЬНОСТИ ТРУДА ВОРОНЕЖСКОЙ ОБЛАСТИ""",Профессиональная организация,rck36.ru,36rck
https://vk.com/39kovcheg,987.0,614.0,5.0,837.0,41.85,36.0,1.8,837.0,41.85,20723.0,1036.15,0.0,0.0,1123900001048,"КРОО ИНВАЛИДОВ ""КОВЧЕГ""","КАЛИНИНГРАДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ ""КОВЧЕГ""",Инвалиды,39kovcheg.ru,39kovcheg
https://vk.com/3v_sykt,2199.0,9077.0,10.0,112.0,5.6,7.0,0.35,112.0,5.6,,,0.0,0.0,1121100000262,"КРРО ООО ""ДЕЛОВАЯ РОССИЯ""","КОМИ РЕСПУБЛИКАНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ДЕЛОВАЯ РОССИЯ""",Поддержка предпринимательства,3v-sykt.ru,3v_sykt
https://vk.com/4istaya_vuoksa,6262.0,1698.0,4.0,1237.0,61.85,206.0,10.3,1237.0,61.85,53406.0,2670.3,0.0,0.0,1157800002557,"ФОНД ""ЧИСТАЯ ВУОКСА""","ФОНД СОДЕЙСТВИЯ РЕАЛИЗАЦИИ ПРОГРАММ В СФЕРЕ ЭКОЛОГИИ, ЭКОЛОГИЧЕСКОЙ КУЛЬТУРЫ И ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ ""ЧИСТАЯ ВУОКСА""",Экология и животные,cleanvuoksa.ru,4istaya_vuoksa
https://vk.com/5sov_ru,812.0,1789.0,6.67,51.0,2.55,2.0,0.1,51.0,2.55,3021.0,151.05,0.0,0.0,1093600000053,"ВРОО ""СОДРУЖЕСТВО ЖУРФАКА ВГУ""","ВОРОНЕЖСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СОДРУЖЕСТВО ФАКУЛЬТЕТА ЖУРНАЛИСТИКИ ВОРОНЕЖСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА""",Профессиональная организация,5-sov.ru,5sov_ru
https://vk.com/66judo,3513.0,790.0,5.0,593.0,29.65,1.0,0.05,593.0,29.65,41746.0,2087.3,0.0,0.0,1026600001977,"РОО ""СВЕРДЛОВСКАЯ ОБЛАСТНАЯ ФЕДЕРАЦИЯ ДЗЮДО""","РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СВЕРДЛОВСКАЯ ОБЛАСТНАЯ ФЕДЕРАЦИЯ ДЗЮДО""",Спорт,judo66.ru,66judo
https://vk.com/74dosaaf,,2420.0,6.67,934.0,46.7,112.0,5.6,934.0,46.7,158064.0,7903.2,0.0,0.0,1037402324277,"ПОУ ""ЧЕЛЯБИНСКАЯ ОТШ ДОСААФ РОССИИ""","ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЧЕЛЯБИНСКАЯ ОБЪЕДИНЕННАЯ ТЕХНИЧЕСКАЯ ШКОЛА ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННО - ГОСУДАРСТВЕННОЙ ОРГАНИЗАЦИИ ""ДОБРОВОЛЬНОЕ ОБЩЕСТВО СОДЕЙСТВИЯ АРМИИ, АВИАЦИИ И ФЛОТУ РОССИИ""","Образование, просвещение",dosaaf8marta.ru,74dosaaf
https://vk.com/75opora,,1161.0,10.0,44.0,2.2,7.0,0.35,44.0,2.2,1818.0,90.9,0.0,0.0,1107500000772,"ЗРОО ""ОПОРА РОССИИ""","ЗАБАЙКАЛЬСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ МАЛОГО И СРЕДНЕГО ПРЕДПРИНИМАТЕЛЬСТВА ""ОПОРА РОССИИ""",Поддержка предпринимательства,75opora.ru,75opora
https://vk.com/a_sro_kiruip,,278.0,6.67,32.0,1.6,0.0,0.0,32.0,1.6,12370.0,618.5,,,1115900001491,"СРО А КИ ""СОДРУЖЕСТВО""","САМОРЕГУЛИРУЕМАЯ ОРГАНИЗАЦИЯ АССОЦИАЦИЯ КАДАСТРОВЫХ ИНЖЕНЕРОВ ""СОДРУЖЕСТВО""",Профессиональная организация,ski-pk.ru,a_sro_kiruip
https://vk.com/aamosru,,9.0,3.0,209.0,23.22,0.0,0.0,209.0,23.22,30629.0,3403.22,,,1197700012531,"ФОНД ""ПОСЛАНИЕ""","ФОНД СОДЕЙСТВИЯ РАЗВИТИЮ СОДРУЖЕСТВА АНОНИМНЫХ АЛКОГОЛИКОВ ""ПОСЛАНИЕ""",Медицина и здравоохранение,aamos.ru,aamosru
