issuer,notAfter,notBefore,website,error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 14 23:28:15 2022 GMT,Nov 16 23:28:16 2021 GMT,http://пермскиеканикулы.рф,No error
,,,http://ruslao.ru,SSLError : [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1076)
,,,http://asmo45.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'asmo45.ru'. (_ssl.c:1076)"
,,,http://roo-mola.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'roo-mola.ru'. (_ssl.c:1076)"
"[[['countryName', 'BE']], [['organizationName', 'GlobalSign nv-sa']], [['commonName', 'GlobalSign GCC R3 DV TLS CA 2020']]]",Aug 18 00:07:22 2022 GMT,Jul 17 00:07:22 2021 GMT,http://burvoa.ru,No error
,,,http://agroeconomist.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  6 22:34:55 2022 GMT,Dec  6 22:34:56 2021 GMT,http://soyuzmashkaluga.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 15 19:43:30 2022 GMT,Dec 15 19:43:31 2021 GMT,http://zabota-smolensk.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 19 11:26:14 2022 GMT,Dec 19 11:26:15 2021 GMT,http://fondsmena.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  2 02:25:00 2022 GMT,Dec  2 02:25:01 2021 GMT,http://voipskov.ru,No error
,,,http://orenjudo.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'orenjudo.ru'. (_ssl.c:1076)"
,,,http://spas-kamenkakhram.ru,SSLError : [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 27 16:48:30 2022 GMT,Oct 29 16:48:31 2021 GMT,http://bc-spartak.ru,No error
,,,http://armada-security.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'armada-security.ru'. (_ssl.c:1076)"
,,,http://rdabc.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 15 09:00:14 2022 GMT,Nov 17 09:00:15 2021 GMT,http://adygeya-orthodoxia.ru,No error
,,,http://алиби11.рф,SSLError : [SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1076)
,,,http://rssi-sport.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'rssi-sport.ru'. (_ssl.c:1076)"
,,,http://blagotvfond.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'blagotvfond.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 20 08:09:15 2022 GMT,Oct 22 08:09:16 2021 GMT,http://netmamy.ru,No error
,,,http://mfeg.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mfeg.ru'. (_ssl.c:1076)"
,,,http://нп-пнп.рф,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://goldgoat.ru,timeout : timed out
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 27 13:13:22 2022 GMT,Dec 27 13:13:23 2021 GMT,http://profmetrospb.ru,No error
,,,http://vestnik-glonass.ru,ConnectionRefusedError : [Errno 61] Connection refused
,,,http://kandinsky-prize.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kandinsky-prize.ru'. (_ssl.c:1076)"
,,,http://altairn.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://fond-volchansk.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://dobrovolec.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'dobrovolec.ru'. (_ssl.c:1076)"
,,,http://anoitt.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'anoitt.ru'. (_ssl.c:1076)"
,,,http://tp-at.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'LV']], [['localityName', 'Riga']], [['organizationName', 'GoGetSSL']], [['commonName', 'GoGetSSL RSA DV CA']]]",Jun 28 23:59:59 2022 GMT,Jun 28 00:00:00 2021 GMT,http://ta-kasta.ucoz.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",Mar  9 23:59:59 2022 GMT,Dec  9 00:00:00 2021 GMT,http://www.gvardia86.ru,No error
,,,http://miloserdie.sdnit.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'miloserdie.sdnit.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 18 02:15:45 2022 GMT,Dec 18 02:15:46 2021 GMT,http://www.tg-m.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  8 23:47:19 2022 GMT,Dec  8 23:47:20 2021 GMT,http://rucio.ru,No error
,,,http://anodpogkb.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'anodpogkb.ru'. (_ssl.c:1076)"
,,,http://ндн89.рф,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 27 13:55:59 2022 GMT,Nov 29 13:56:00 2021 GMT,http://zhiznplus.ru,No error
,,,http://cheerleading74.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cheerleading74.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 21 23:11:14 2022 GMT,Dec 21 23:11:15 2021 GMT,http://soyuzmash.ru,No error
,,,http://narodychukotki.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'narodychukotki.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['stateOrProvinceName', 'TX']], [['localityName', 'Houston']], [['organizationName', 'cPanel, Inc.']], [['commonName', 'cPanel, Inc. Certification Authority']]]",Feb 28 23:59:59 2022 GMT,Nov 30 00:00:00 2021 GMT,http://tokmy.ru,No error
,,,http://primafamily.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'primafamily.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  2 02:31:28 2022 GMT,Dec  2 02:31:29 2021 GMT,http://progressprim.ru,No error
,,,http://primsynchro.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'primsynchro.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['stateOrProvinceName', 'TX']], [['localityName', 'Houston']], [['organizationName', 'cPanel, Inc.']], [['commonName', 'cPanel, Inc. Certification Authority']]]",Feb 28 23:59:59 2022 GMT,Nov 30 00:00:00 2021 GMT,http://tok-ok-dv.ru,No error
,,,http://inmanmeddpo.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://abvstatus.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'abvstatus.ru'. (_ssl.c:1076)"
,,,http://financliga.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  1 00:20:22 2022 GMT,Dec  1 00:20:23 2021 GMT,http://crpdzr.ru,No error
,,,http://храм-шехмань.рф,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://dpri.ru,timeout : timed out
,,,http://rgrdfo.ru,ConnectionRefusedError : [Errno 61] Connection refused
,,,http://dtkrupskoy.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'dtkrupskoy.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 25 17:51:11 2022 GMT,Nov 27 17:51:12 2021 GMT,http://men21.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 24 07:52:51 2022 GMT,Nov 26 07:52:52 2021 GMT,http://mesivta-lubavich.mskobr.ru,No error
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Thawte TLS RSA CA G1']]]",Oct 11 23:59:59 2022 GMT,Oct 11 00:00:00 2021 GMT,http://rmtf.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  1 12:17:47 2022 GMT,Dec  1 12:17:48 2021 GMT,http://glorygod.ru,No error
,,,http://welcomeural.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'welcomeural.ru'. (_ssl.c:1076)"
,,,http://npncvp.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  9 06:57:27 2022 GMT,Nov 11 06:57:28 2021 GMT,http://spbasso.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 17 00:07:38 2022 GMT,Oct 19 00:07:39 2021 GMT,http://detdom27.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 13 05:46:50 2022 GMT,Dec 13 05:46:51 2021 GMT,http://ncsu.ru,No error
,,,http://sofronirk.ru,ConnectionRefusedError : [Errno 61] Connection refused
,,,http://ngo-cei.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ngo-cei.ru'. (_ssl.c:1076)"
,,,http://tpintegral.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'tpintegral.ru'. (_ssl.c:1076)"
,,,http://umc-perspektiva.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'umc-perspektiva.ru'. (_ssl.c:1076)"
,,,http://zhivojistochnik.ru,timeout : timed out
,,,http://unityofbuddhism.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://gf-urfo.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'gf-urfo.ru'. (_ssl.c:1076)"
,,,http://koenigbicycle.ru,SSLError : [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Apr  1 03:15:57 2022 GMT,Jan  1 03:15:58 2022 GMT,http://gadarin.ru,No error
,,,http://spbinterproject.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 21 08:32:59 2022 GMT,Dec 21 08:33:00 2021 GMT,http://bfa-fond.ru,No error
,,,http://kitoy-sibir.ru,ConnectionRefusedError : [Errno 61] Connection refused
,,,http://priziv-lyambir.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['stateOrProvinceName', 'TX']], [['localityName', 'Houston']], [['organizationName', 'cPanel, Inc.']], [['commonName', 'cPanel, Inc. Certification Authority']]]",Feb  6 23:59:59 2022 GMT,Nov  8 00:00:00 2021 GMT,http://festival-konkurs.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 14 06:47:37 2022 GMT,Nov 16 06:47:38 2021 GMT,http://fond-alena.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",Sep 27 23:59:59 2022 GMT,Sep  2 00:00:00 2021 GMT,http://center-svecha.edusite.ru,No error
,,,http://автоманевр69.рф,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Thawte TLS RSA CA G1']]]",Aug 19 23:59:59 2022 GMT,Aug 10 00:00:00 2021 GMT,http://tooosvi.ru,No error
,,,http://ahleague.ru,SSLError : [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",Apr  2 23:59:59 2022 GMT,Mar  3 00:00:00 2021 GMT,http://airfund.ru,No error
,,,http://rosrak.ru,SSLError : [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 27 01:46:07 2022 GMT,Dec 27 01:46:08 2021 GMT,http://donseminary.ru,No error
,,,http://prombez32.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'prombez32.ru'. (_ssl.c:1076)"
,,,http://business-yaransk.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'business-yaransk.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 10 13:05:20 2022 GMT,Dec 10 13:05:21 2021 GMT,http://soyuzmash-ekb.ru,No error
"[[['countryName', 'BE']], [['organizationName', 'GlobalSign nv-sa']], [['commonName', 'GlobalSign GCC R3 DV TLS CA 2020']]]",Apr 14 09:29:52 2022 GMT,Mar 13 09:29:52 2021 GMT,http://sovetveteranovtob.ru,No error
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Thawte RSA CA 2018']]]",Mar 20 23:59:59 2022 GMT,Mar  5 00:00:00 2021 GMT,http://prosvetitelstvo.ru,No error
,,,http://vdpsy.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'vdpsy.ru'. (_ssl.c:1076)"
,,,http://www.avtoopt-perm.narod.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.avtoopt-perm.narod.ru'. (_ssl.c:1076)"
,,,http://фонддмитриядонского.рф,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'xn--c1abaatapmggdhcbwul3a2t.xn--p1ai'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 26 23:22:40 2022 GMT,Nov 28 23:22:41 2021 GMT,http://votinovmikhail.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 24 02:35:20 2022 GMT,Nov 26 02:35:21 2021 GMT,http://www.ktoeslineya.ru,No error
,,,http://fbc-cis.ru,SSLError : [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 27 01:42:47 2022 GMT,Nov 29 01:42:48 2021 GMT,http://sro-upravkom.ru,No error
,,,http://info-dcp.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://kazanski-m-rzn.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  4 11:30:30 2022 GMT,Dec  4 11:30:31 2021 GMT,http://kntummc.ru,No error
,,,http://proffobr.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['commonName', 'RapidSSL TLS DV RSA Mixed SHA256 2020 CA-1']]]",Sep  4 23:59:59 2022 GMT,Aug 30 00:00:00 2021 GMT,http://pavlovo-school.ru,No error
,,,http://фондзабота.рф,SSLError : [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)
,,,http://rus-foundation.ru,ConnectionRefusedError : [Errno 61] Connection refused
,,,http://judo-hmao.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'judo-hmao.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  6 07:26:01 2022 GMT,Nov  8 07:26:02 2021 GMT,http://vpoo-mip.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 20 04:01:50 2022 GMT,Dec 20 04:01:51 2021 GMT,http://prisurje.ru,No error
,,,http://fondkluch.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fondkluch.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 22 14:01:12 2022 GMT,Dec 22 14:01:13 2021 GMT,http://курсыхабаровск.рф,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  2 04:24:44 2022 GMT,Dec  2 04:24:45 2021 GMT,http://public-health.ru,No error
,,,http://fond-korobkov.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
,,,http://forpo.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'forpo.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 10 21:03:06 2022 GMT,Dec 10 21:03:07 2021 GMT,http://clinicpharm.ru,No error
,,,http://ruzgazeta.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ruzgazeta.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  2 21:01:19 2022 GMT,Dec  2 21:01:20 2021 GMT,http://konkurspetrov.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",Apr 11 23:59:59 2022 GMT,Mar 11 00:00:00 2021 GMT,http://www.yoga.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 26 23:51:15 2022 GMT,Oct 28 23:51:16 2021 GMT,http://kbroopatriot.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 13 21:25:09 2022 GMT,Nov 15 21:25:10 2021 GMT,http://miasskiy.ru,No error
,,,http://общество-хирургов.рф,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'xn----9sbdbejx7bdduahou3a5d.xn--p1ai'. (_ssl.c:1076)"
,,,http://autism24.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'autism24.ru'. (_ssl.c:1076)"
,,,http://mosobl-memorial.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mosobl-memorial.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 14 06:30:58 2022 GMT,Dec 14 06:30:59 2021 GMT,http://spr64.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 18 07:51:15 2022 GMT,Dec 18 07:51:16 2021 GMT,http://sarsoyuzmash.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 15 14:13:30 2022 GMT,Nov 17 14:13:31 2021 GMT,http://aro-perm.ru,No error
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Thawte RSA CA 2018']]]",Apr  2 23:59:59 2022 GMT,Mar 18 00:00:00 2021 GMT,http://mittelpress.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'COMODO CA Limited']], [['commonName', 'COMODO RSA Domain Validation Secure Server CA']]]",Jul 11 23:59:59 2022 GMT,Jun 10 00:00:00 2021 GMT,http://rosatom.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 24 23:06:11 2022 GMT,Dec 24 23:06:12 2021 GMT,http://63golf.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 13 11:16:35 2022 GMT,Dec 13 11:16:36 2021 GMT,http://biathlonmoscow.ru,No error
"[[['countryName', 'US']], [['stateOrProvinceName', 'TX']], [['localityName', 'Houston']], [['organizationName', 'cPanel, Inc.']], [['commonName', 'cPanel, Inc. Certification Authority']]]",Apr  4 23:59:59 2022 GMT,Jan  4 00:00:00 2022 GMT,http://medprofstandart.ru,No error
,,,http://poiskovikirf.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 21 23:49:04 2022 GMT,Dec 21 23:49:05 2021 GMT,http://ibs-link.ru,No error
,,,http://status-nv.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Thawte TLS RSA CA G1']]]",Aug 16 23:59:59 2022 GMT,Aug 16 00:00:00 2021 GMT,http://youngreaders.ru,No error
,,,http://slavatrud.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://babaevo-gazeta.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'babaevo-gazeta.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  1 09:52:35 2022 GMT,Dec  1 09:52:36 2021 GMT,http://vdpo47.ru,No error
,,,http://vcnmo.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'vcnmo.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 22 06:30:26 2022 GMT,Nov 24 06:30:27 2021 GMT,http://www.opeca.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 23 14:51:41 2022 GMT,Dec 23 14:51:42 2021 GMT,http://deloros63.ru,No error
,,,http://south-archaeology.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'south-archaeology.ru'. (_ssl.c:1076)"
,,,http://alrf26.ru,SSLError : [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 11 09:42:53 2022 GMT,Nov 13 09:42:54 2021 GMT,http://rewizor.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  8 07:25:03 2022 GMT,Dec  8 07:25:04 2021 GMT,http://mosoblsportprof.ru,No error
,,,http://fond-ustu.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 20 15:01:28 2022 GMT,Nov 22 15:01:29 2021 GMT,http://автошкола-макс.рф,No error
